site,disturbance
AR-SLu,1960-01-01
AR-Vir,2003-01-01
AT-Neu,undisturbed
AU-ASM,undisturbed
AU-Ade,undisturbed
AU-Cpr,undisturbed
AU-Cum,1705-01-01
AU-DaP,undisturbed
AU-DaS,undisturbed
AU-Dry,undisturbed
AU-Emr,undisturbed
AU-Fog,undisturbed
AU-Gin,undisturbed
AU-RDF,undisturbed
AU-Rob,1816-01-01
AU-TTE,undisturbed
AU-Tum,1925-01-01
AU-Wac,1705-01-01
AU-Whr,undisturbed
AU-Wom,1980-01-01
AU-Ync,undisturbed
BE-Bra,1929-01-01
BE-Lon,undisturbed
BE-Vie,1911-01-01
BR-Sa1,1500-01-01
BR-Sa3,1500-01-01
CA-Gro,1931-01-01
CA-Man,1839-01-01
CA-NS2,1930-01-01
CA-NS3,1964-01-01
CA-NS4,1964-01-01
CA-NS5,1981-01-01
CA-NS6,1989-01-01
CA-NS7,1998-01-01
CA-Oas,1924-01-01
CA-Obs,1893-01-01
CA-Qfo,1905-01-01
CA-SF1,1977-01-01
CA-SF2,1989-01-01
CA-SF3,1998-01-01
CA-TP1,2002-01-01
CA-TP2,1989-01-01
CA-TP3,1974-01-01
CA-TP4,1939-01-01
CA-TPD,1915-01-01
CG-Tch,undisturbed
CH-Cha,undisturbed
CH-Dav,1784-01-01
CH-Fru,undisturbed
CH-Lae,1826-01-01
CH-Oe1,undisturbed
CH-Oe2,undisturbed
CN-Cha,1546-01-01
CN-Cng,undisturbed
CN-Dan,undisturbed
CN-Din,1908-01-01
CN-Du2,undisturbed
CN-Du3,undisturbed
CN-HaM,undisturbed
CN-Qia,1985-01-01
CN-Sw2,undisturbed
CZ-BK1,1980-01-01
CZ-BK2,undisturbed
CZ-wet,undisturbed
DE-Akm,undisturbed
DE-Geb,undisturbed
DE-Gri,undisturbed
DE-Hai,1750-01-01
DE-Kli,undisturbed
DE-Lkb,2009-01-01
DE-Lnf,1890-01-01
DE-Obe,1935-01-01
DE-RuR,undisturbed
DE-RuS,undisturbed
DE-Seh,undisturbed
DE-SfN,undisturbed
DE-Spw,undisturbed
DE-Tha,1887-01-01
DE-Zrk,undisturbed
DK-Eng,undisturbed
DK-Fou,undisturbed
DK-Sor,1920-01-01
ES-Amo,undisturbed
ES-LJu,undisturbed
ES-LgS,undisturbed
ES-Ln2,undisturbed
FI-Hyy,1960-01-01
FI-Jok,undisturbed
FI-Let,undisturbed
FI-Lom,undisturbed
FI-Sod,1847-01-01
FR-Fon,1860-01-01
FR-Gri,undisturbed
FR-LBr,1970-01-01
FR-Pue,1943-01-01
GF-Guy,1500-01-01
GH-Ank,undisturbed
GL-NuF,undisturbed
GL-ZaF,undisturbed
GL-ZaH,undisturbed
IT-BCi,undisturbed
IT-CA1,undisturbed
IT-CA2,undisturbed
IT-CA3,undisturbed
IT-Col,1824-01-01
IT-Cp2,1950-01-01
IT-Cpz,1950-01-01
IT-Isp,undisturbed
IT-La2,1912-01-01
IT-Lav,1908-01-01
IT-MBo,undisturbed
IT-Noe,1960-01-01
IT-PT1,1990-01-01
IT-Ren,1820-01-01
IT-Ro1,1994-01-01
IT-Ro2,1987-01-01
IT-SR2,1950-01-01
IT-SRo,1950-01-01
IT-Tor,undisturbed
JP-MBF,undisturbed
JP-SMF,undisturbed
MY-PSO,1900-01-01
NL-Hor,undisturbed
NL-Loo,1900-01-01
PA-SPn,2001-01-01
PA-SPs,undisturbed
RU-Che,undisturbed
RU-Cok,undisturbed
RU-Fyo,1770-01-01
RU-Ha1,undisturbed
RU-Sam,undisturbed
RU-SkP,1852-01-01
RU-Tks,undisturbed
RU-Vrk,undisturbed
SD-Dem,undisturbed
SE-St1,undisturbed
SJ-Adv,undisturbed
SJ-Blv,undisturbed
SN-Dhr,undisturbed
US-AR1,undisturbed
US-AR2,undisturbed
US-ARM,undisturbed
US-ARb,undisturbed
US-ARc,undisturbed
US-Atq,undisturbed
US-Blo,1990-01-01
US-CRT,undisturbed
US-Cop,undisturbed
US-GBT,1826-01-01
US-GLE,1826-01-01
US-Goo,undisturbed
US-Ha1,1906-01-01
US-IB2,undisturbed
US-Ivo,undisturbed
US-KS1,1995-01-01
US-KS2,undisturbed
US-LWW,undisturbed
US-Lin,undisturbed
US-Los,1970-01-01
US-MMS,1912-01-01
US-Me1,2003-01-01
US-Me2,1912-01-01
US-Me3,1986-01-01
US-Me4,1810-01-01
US-Me5,1978-01-01
US-Me6,1990-01-01
US-Myb,undisturbed
US-NR1,1897-01-01
US-Ne1,undisturbed
US-Ne2,undisturbed
US-Ne3,undisturbed
US-ORv,undisturbed
US-Oho,1959-01-01
US-PFa,1855-01-01
US-Prr,1915-01-01
US-SRC,undisturbed
US-SRG,undisturbed
US-SRM,1808-01-01
US-Sta,undisturbed
US-Syv,1657-01-01
US-Ton,undisturbed
US-Tw1,undisturbed
US-Tw2,undisturbed
US-Tw3,undisturbed
US-Tw4,undisturbed
US-Twt,undisturbed
US-UMB,1914-01-01
US-UMd,1921-01-01
US-Var,undisturbed
US-WCr,1910-01-01
US-WPT,undisturbed
US-Whs,undisturbed
US-Wi0,1995-01-01
US-Wi1,1988-01-01
US-Wi2,1981-01-01
US-Wi3,1937-01-01
US-Wi4,1938-01-01
US-Wi5,1995-01-01
US-Wi6,1990-01-01
US-Wi7,2000-01-01
US-Wi8,2000-01-01
US-Wi9,1989-01-01
US-Wkg,undisturbed
ZA-Kru,undisturbed
ZM-Mon,1920-01-01
