site_name,disturbance,pft
AR-SLu,1960-01-01,5.0
AR-Vir,2003-01-01,1.0
AT-Neu,undisturbed,10.0
AU-ASM,undisturbed,1.0
AU-Ade,undisturbed,8.0
AU-Cpr,undisturbed,9.0
AU-Cum,1705-01-01,2.0
AU-DaP,undisturbed,10.0
AU-DaS,undisturbed,9.0
AU-Dry,undisturbed,9.0
AU-Emr,undisturbed,10.0
AU-Fog,undisturbed,11.0
AU-Gin,undisturbed,8.0
AU-RDF,undisturbed,8.0
AU-Rob,1816-01-01,2.0
AU-TTE,undisturbed,7.0
AU-Tum,1925-01-01,2.0
AU-Wac,1705-01-01,2.0
AU-Whr,undisturbed,2.0
AU-Wom,1980-01-01,2.0
AU-Ync,undisturbed,10.0
BE-Bra,1929-01-01,5.0
BE-Lon,undisturbed,12.0
BE-Vie,1911-01-01,5.0
BR-Sa1,1500-01-01,2.0
BR-Sa3,1500-01-01,2.0
CA-Gro,1931-01-01,5.0
CA-Man,1839-01-01,1.0
CA-NS2,1930-01-01,1.0
CA-NS3,1964-01-01,1.0
CA-NS4,1964-01-01,1.0
CA-NS5,1981-01-01,1.0
CA-NS6,1989-01-01,7.0
CA-NS7,1998-01-01,7.0
CA-Oas,1924-01-01,4.0
CA-Obs,1893-01-01,1.0
CA-Qfo,1905-01-01,1.0
CA-SF1,1977-01-01,1.0
CA-SF2,1989-01-01,1.0
CA-SF3,1998-01-01,7.0
CA-TP1,2002-01-01,1.0
CA-TP2,1989-01-01,1.0
CA-TP3,1974-01-01,1.0
CA-TP4,1939-01-01,1.0
CA-TPD,1915-01-01,4.0
CG-Tch,undisturbed,9.0
CH-Cha,undisturbed,10.0
CH-Dav,1784-01-01,1.0
CH-Fru,undisturbed,10.0
CH-Lae,1826-01-01,5.0
CH-Oe1,undisturbed,10.0
CH-Oe2,undisturbed,12.0
CN-Cha,1546-01-01,5.0
CN-Cng,undisturbed,10.0
CN-Dan,undisturbed,10.0
CN-Din,1908-01-01,2.0
CN-Du2,undisturbed,10.0
CN-Du3,undisturbed,10.0
CN-HaM,undisturbed,10.0
CN-Qia,1985-01-01,1.0
CN-Sw2,undisturbed,10.0
